最后更新时间,地区,所属地区,现有确诊人数,累计确诊人数,累计治愈人数,累计死亡人数,新增确诊
2021-08-21 13:06:03,地区待确认,台湾,1529,15906,13550,827,9
2021-08-21 13:06:03,扬州,江苏,479,590,111,0,1
2021-08-21 13:06:03,南京,江苏,144,329,185,0,0
2021-08-21 13:06:03,境外输入,江苏,14,134,120,0,0
2021-08-21 13:06:03,淮安,江苏,12,78,66,0,0
2021-08-21 13:06:03,宿迁,江苏,3,16,13,0,0
2021-08-21 13:06:03,南通,江苏,0,40,40,0,0
2021-08-21 13:06:03,盐城,江苏,0,27,27,0,0
2021-08-21 13:06:03,常州,江苏,0,51,51,0,0
2021-08-21 13:06:03,苏州,江苏,0,87,87,0,0
2021-08-21 13:06:03,无锡,江苏,0,55,55,0,0
2021-08-21 13:06:03,徐州,江苏,0,79,79,0,0
2021-08-21 13:06:03,连云港,江苏,0,48,48,0,0
2021-08-21 13:06:03,镇江,江苏,0,12,12,0,0
2021-08-21 13:06:03,泰州,江苏,0,37,37,0,0
2021-08-21 13:06:03,地区待确认,江苏,-3,0,3,0,0
2021-08-21 13:06:03,境外输入,云南,288,615,327,0,3
2021-08-21 13:06:03,德宏州,云南,43,216,173,0,0
2021-08-21 13:06:03,昭通市,云南,0,25,25,0,0
2021-08-21 13:06:03,昆明,云南,0,53,53,0,0
2021-08-21 13:06:03,保山市,云南,0,9,9,0,0
2021-08-21 13:06:03,玉溪,云南,0,14,13,1,0
2021-08-21 13:06:03,红河,云南,0,9,9,0,0
2021-08-21 13:06:03,曲靖,云南,0,13,13,0,0
2021-08-21 13:06:03,大理,云南,0,13,13,0,0
2021-08-21 13:06:03,西双版纳州,云南,0,15,14,1,0
2021-08-21 13:06:03,文山州,云南,0,2,2,0,0
2021-08-21 13:06:03,普洱,云南,0,4,4,0,0
2021-08-21 13:06:03,楚雄州,云南,0,4,4,0,0
2021-08-21 13:06:03,丽江市,云南,0,7,7,0,0
2021-08-21 13:06:03,临沧,云南,0,1,1,0,0
2021-08-21 13:06:03,郑州,河南,121,295,169,5,0
2021-08-21 13:06:03,境外输入,河南,30,82,52,0,0
2021-08-21 13:06:03,商丘,河南,15,106,88,3,0
2021-08-21 13:06:03,开封,河南,7,33,26,0,0
2021-08-21 13:06:03,驻马店,河南,4,143,139,0,0
2021-08-21 13:06:03,安阳,河南,1,54,53,0,0
2021-08-21 13:06:03,许昌,河南,1,40,38,1,0
2021-08-21 13:06:03,三门峡,河南,0,7,6,1,0
2021-08-21 13:06:03,漯河,河南,0,36,36,0,0
2021-08-21 13:06:03,周口,河南,0,76,75,1,0
2021-08-21 13:06:03,南阳,河南,0,156,153,3,0
2021-08-21 13:06:03,信阳,河南,0,274,272,2,0
2021-08-21 13:06:03,济源示范区,河南,0,5,5,0,0
2021-08-21 13:06:03,新乡,河南,0,57,54,3,0
2021-08-21 13:06:03,焦作,河南,0,32,31,1,0
2021-08-21 13:06:03,平顶山,河南,0,58,57,1,0
2021-08-21 13:06:03,洛阳,河南,0,31,30,1,0
2021-08-21 13:06:03,濮阳,河南,0,17,17,0,0
2021-08-21 13:06:03,鹤壁,河南,0,19,19,0,0
2021-08-21 13:06:03,地区待确认,河南,-8,0,8,0,0
2021-08-21 13:06:03,境外输入,上海,98,2045,1947,0,2
2021-08-21 13:06:03,浦东,上海,6,75,69,0,5
2021-08-21 13:06:03,松江,上海,1,15,14,0,0
2021-08-21 13:06:03,崇明,上海,0,4,4,0,0
2021-08-21 13:06:03,宝山,上海,0,26,25,1,0
2021-08-21 13:06:03,黄浦,上海,0,22,21,1,0
2021-08-21 13:06:03,长宁,上海,0,14,14,0,0
